Inventory
date|item|code|num_units|uncertainty
Nov 18, 25|Bacon|estimate|144|14
Nov 18, 25|Bowls|estimate|325|33
Nov 18, 25|Butter|estimate|6|1
Nov 18, 25|Coffee, ground|estimate|77|8
Nov 18, 25|Coffee cups, 8oz|estimate|0|0
Nov 18, 25|Coffee Stirrer 5"|estimate|495|50
Nov 18, 25|Cutlery Packets|estimate|0|0
Nov 18, 25|Eggs|estimate|0|0
Nov 18, 25|Gloves|estimate|1463|146
Nov 18, 25|Half & Half|estimate|170|17
Nov 18, 25|Milk|estimate|0|0
Nov 18, 25|Nonstick Spray|estimate|10|1
Nov 18, 25|OJ cups|estimate|350|35
Nov 18, 25|Orange Juice|estimate|11|1
Nov 18, 25|Pancake Mix|estimate|80|8
Nov 18, 25|Paper Towels|estimate|3|0
Nov 18, 25|Place Mats|estimate|428|43
Nov 18, 25|Raffle Tickets|estimate|1966|197
Nov 18, 25|Scrubbers|estimate|5|1
Nov 18, 25|Serving Plates|estimate|80|8
Nov 18, 25|Splenda|estimate|1600|160
Nov 18, 25|Sugar|estimate|100|10
Nov 18, 25|Sweet'N Low|estimate|1650|165
Nov 18, 25|Syrup, reg|estimate|237|24
Nov 18, 25|Syrup, sugar free|estimate|237|24
Nov 18, 25|Tea|estimate|84|8
Nov 18, 25|To-Go Containers|estimate|160|16
