Items
Item|Unit|Supplier|Supplier_id|Num_per_meal|Num_per_table|Num_per_serving
Bacon|slice|Sams|1|||2.63
Bowls|ea|Sams|1||3.00|0.00
Butter|chip|Gordon|1||12.00|1.50
Coffee, ground|cup of coffee|Sams|1|||0.00
Coffee cups, 12 oz|ea|Sams|1|||
Coffee cups, 10 oz|ea|Sams|1|||
Coffee cups, 8 oz|ea|Sams|1||10.00|1.00
Coffee Stirrer 5"|ea|Gordon|1||10.00|1.00
Coffee Stirrer 7"|ea|Walmart|1|||
Cutlery Packets|ea|Sams|1||10.00|1.00
Eggs|ea|Sams|1|||2.90
Gloves|pair|Walmart|1|10.00||
Grill Cleaning Brick|ea|Walmart|1|0.10||
Half & Half|ea|Sams|1||10.00|1.00
Milk|oz|Walmart|1|||0.63
Nonstick Spray|can|Sams|1|1.00||0.01
OJ cups|ea|Sams|1||10.00|1.00
Orange Juice|oz|Sams|1|||4.50
Pancake Mix|6" pancake (4 oz ea, was 1.8)|Sams|1|||1.67
Paper Towels|roll|Walmart|1|||0.01
Place Mats|ea|Gordon|1||10.00|1.00
Raffle Tickets|ea|Walmart|1|||2.27
Rubber Bands|ea|Walmart|1|||
Scrubbers|ea|Sams|1|||0.01
Serving Plates|ea|Sams|1|||1.00
Small Plates|ea|Sams|1|||
Splenda|ea|Sams|1||5.00|0.33
Sugar|ea|Sams|1||5.00|0.33
Sweet'N Low|ea|Sams|1||5.00|0.33
Syrup bottle, reg|bottle||||1.00|
Syrup bottle, SF|bottle||||1.00|
Syrup, reg|oz|Walmart|1|||1.67
Syrup, sugar free|oz|Walmart|1|||1.67
Tea|bag|Sams|1|||0.10
To-Go Containers|ea|Sams|1|||0.08
