Items
item                |unit         |perishable|supplier|supplier_id|num_per_meal|num_per_table|num_per_serving
Bacon               |slice        |True      |Sams    |          1|            |             |           2.63
Bowls               |ea           |False     |Sams    |          1|            |            3|              0
Butter              |chip         |True      |Gordon  |          1|            |           12|            1.5
Coffee, ground      |cup of coffee|False     |Sams    |          1|         120|             |               
Coffee cups, 12 oz  |ea           |False     |Sams    |          1|            |             |               
Coffee cups, 10 oz  |ea           |False     |Sams    |          1|            |             |               
Coffee cups, 8 oz   |ea           |False     |Sams    |          1|            |           10|              1
Coffee Stirrer 5"   |ea           |False     |Gordon  |          1|            |           10|              1
Coffee Stirrer 7"   |ea           |False     |Walmart |          1|            |             |               
Cutlery Packets     |ea           |False     |Sams    |          1|            |           10|              1
Eggs                |ea           |True      |Sams    |          1|            |             |            2.9
Gloves              |pair         |False     |Walmart |          1|          10|             |               
Grill Cleaning Brick|ea           |False     |Amazon  |          1|         0.1|             |               
Half & Half         |ea           |False     |Sams    |          1|            |           10|              1
Milk                |oz           |True      |Walmart |          1|            |             |           0.63
Nonstick Spray      |can          |False     |Sams    |          1|           1|             |           0.01
OJ cups             |ea           |False     |Sams    |          1|            |           10|              1
Orange Juice        |oz           |True      |Sams    |          1|            |             |            4.5
Pancake Mix         |6" (4 oz ea) |False     |Sams    |          1|            |             |           1.67
Paper Towels        |roll         |False     |Walmart |          1|            |             |           0.01
Place Mats          |ea           |False     |Gordon  |          1|            |           10|              1
Raffle Tickets      |ea           |False     |Walmart |          1|            |             |           2.27
Rubber Bands        |ea           |False     |Walmart |          1|            |             |               
Scrubbers           |ea           |False     |Sams    |          1|            |             |           0.01
Serving Plates      |ea           |False     |Sams    |          1|            |             |              1
Small Plates        |ea           |False     |Sams    |          1|            |             |               
Splenda             |ea           |False     |Sams    |          1|            |            5|           0.33
Sugar               |ea           |False     |Sams    |          1|            |            5|           0.33
Sweet'N Low         |ea           |False     |Sams    |          1|            |            5|           0.33
Syrup bottle, reg   |bottle       |False     |Walmart |          1|            |            1|         0.0696
Syrup bottle, SF    |bottle       |False     |Walmart |          1|            |            1|         0.0696
Syrup, reg          |oz           |False     |Walmart |          1|            |             |           1.67
Syrup, sugar free   |oz           |False     |Walmart |          1|            |             |           1.67
Tea                 |bag          |False     |Sams    |          1|            |             |            0.1
To-Go Containers    |ea           |False     |Sams    |          1|            |             |           0.08

Products
item                |supplier|supplier_id|name                                                                                                                                                                                                 |item_num |location |price|pkg_size|pkg_weight|note                                                                       
Bacon               |Aldis   |          1|Appleton Farms Fully Cooked Bacon                                                                                                                                                                    |         |         | 3.75|      12|       2.1|                                                                           
Bacon               |Gordon  |          1|Bacon, Laid-Out, Smoked, Medium Sliced, Precooked, Fresh, 100 Ct Package                                                                                                                             |314196   |         |19.99|     100|          |                                                                           
Bacon               |Sams    |          1|Smithfield Fully Cooked Bacon (10.5 oz., 72 ct.)                                                                                                                                                     |990285429|M2-16    |13.83|      72|      10.5|                                                                           
Bacon               |Walmart |          1|Oscar Mayer Fully Cooked Original Bacon Mega Pack, 6.3 Oz Box                                                                                                                                        |         |A28      |10.98|      24|       6.3|                                                                           
Bacon               |Walmart |          2|HORMEL BLACK LABEL Microwave Ready Bacon, Gluten Free, Refrigerated, 18 oz Plastic Package                                                                                                           |         |A28      |12.98|      24|        18|                                                                           
Bacon               |Walmart |          3|HORMEL BLACK LABEL Microwave Ready Pork Bacon, Gluten Free, 12 oz                                                                                                                                    |         |A28      | 8.97|      16|        12|                                                                           
Bacon               |Walmart |          4|Great Value Hickory Smoked Fully Cooked Thick Cut Bacon, 2.1 oz (only 3 stars)                                                                                                                       |         |A28      | 3.64|      10|       2.1|                                                                           
Bacon               |Walmart |          5|HORMEL BLACK LABEL Pork Bacon, Fully Cooked, 2.52 oz Plastic Package                                                                                                                                 |         |A28      | 4.48|      10|      2.52|                                                                           
Bacon               |Walmart |          6|Oscar Mayer Fully Cooked Original Bacon, 2.52 Oz Box                                                                                                                                                 |         |A28      | 4.48|      10|      2.52|                                                                           
Bowls               |Sams    |          1|Hefty Supreme Heavyweight Foam Bowls (12 oz., 300 ct.)                                                                                                                                               |309203   |         |13.28|     300|          |                                                                           
Butter              |Gordon  |          1|Butter Chips, Continental, Salted, Foil-Wrapped, Grade AA, 4.25 Lb Package                                                                                                                           |271991   |Cooler   |24.99|     200|          |                                                                           
Coffee, ground      |Sams    |          1|Folgers Decaffeinated Classic Roast Coffee (28.8 oz.)                                                                                                                                                |990007890|G26-6    |20.58|     360|          |pkg_size was 192                                                           
Coffee, ground      |Sams    |          2|Maxwell House Original Roast Ground Coffee (48 oz.)                                                                                                                                                  |980186253|         |10.98|     600|          |pkg_size was 320                                                           
Coffee cups, 12 oz  |Sams    |          1|WinCup Foam Drink Cups, White (12 oz)                                                                                                                                                                |497482   |         |37.98|    1000|          |                                                                           
